"Study_ID","Study_Name","Location_ID","Study_Specific_Location_ID","Location_Name","Well_Tag_ID","Field_Collection_Type","Field_Collector","Field_Collection_Date","Field_Collection_Time","Field_Collection_Date_Time","Field_Collection_Date_Accuracy","Field_Collection_Comment","Well_Water_Level_Measuring_Point_or_TOC_ID","Sample_Source","Water_Level_Parameter_Name","Water_Level_Value","Water_Level_Value_Units","Water_Level_Qualifier","Water_Level_Qualifier_Description","Water_Level_Accuracy","Water_Level_Method","Water_Level_Method_Description","Water_Level_Comment","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Calculated_Land_Surface_Elevation_NAVD88_FT","Calculated_Well_Water_Level_Measuring_Point_or_TOC_Elevation_NAVD88_FT","Well_Water_Level_Measuring_Point_or_TOC_Height","Well_Water_Level_Measuring_Point_or_TOC_Height_Units","Calculated_Water_Level_Elevation_NAVD88_FT","Calculated_Water_Level_Elevation_Accuracy_FT","Calculated_Water_Level_Depth_Below_Land_Surface_FT","Study_ID_Alias","EIM_Data_Entry_Review_Status","Result_Suspect_Or_Rejected_Flag","Result_Suspect_Code","Result_Suspect_Description","Record_Created_On","Result_System_ID"
"MRED0005","Lower Yakima Valley Groundwater Management Area Ambient Groundwater Monitoring Network","BKB737","LYV-MW-001","LYV-MW-001","BKB737","Measurement","WA Dept of Ecology","07/29/2021",14:50:00,"07/29/2021 14:50:00","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","86.48","ft","","","Water level accurate to +/- 0.01ft","DEPTH","Depth by measuring stick or tape","",46.4920687642608,-120.360808913282,,1036.7,,"",950.22,"",,"","Not Reviewed","","","",2/4/2022 5:55:40 PM,215042998
"CD1906","Bay Chemical, Yakima, WA","CD1906-MW-11","MW-11","MW-11","","Measurement","Consultant, Professional","09/02/2020",11:01:00,"09/02/2020 11:01:00","D","","MP1","Groundwater","Water level in well (depth below top of well casing)","4.8","ft","","","Water level accurate to +/- 0.1ft","GWLMV","Groundwater level by calibrated electric tape measurement","",46.5678363,-120.4905903,1003,,-0.33,"FT",997.87,"+/- 10 ft (3 m)",5.13,"","Not Reviewed","","","",12/10/2020 2:12:38 PM,213312096
"MRED0005","Lower Yakima Valley Groundwater Management Area Ambient Groundwater Monitoring Network","BKB727","LYV-MW-025","LYV-MW-025","BKB727","MEASUREMENT","WA Dept of Ecology","04/13/2022",12:24:00,"04/13/2022 12:24:00","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","28.05","ft","","","Water level accurate to +/- 0.01ft","DEPTH","Depth by measuring stick or tape","",46.3314122991254,-119.92662260444,926.45,926.45,,"",898.4,"",,"","Not Reviewed","","","",11/3/2022 2:00:51 PM,216104846
"FS26981244","Gearjammer Truck Plaza, Union Gap, WA","FS26981244-MW5","MW5","FS26981244-MW5","BKY191","Measurement","Consultant, Professional","12/19/2018",,"12/19/2018","W","","TOC1","Groundwater","Water level in well (depth below top of well casing)","10.72","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.56806,-120.47265,,985,,"",974.28,"",,"VCCE0312","Not Reviewed","","","",2/20/2020 8:33:09 AM,211646813
"VCCE0435","Ameristar No 19 (Also known as Pik a Pop No 14, Tieton Station, Tieton Smoke Shop, Maid O Clover)","VCCE0435-MW7","MW7","VCCE0435-MW7","","Measurement","Consultant, Professional","08/14/2018",10:05:00,"08/14/2018 10:05:00","D","","TOC1","Groundwater","Water level in well (depth below top of well casing)","8.37","ft","","","Water level accurate to +/- 0.01ft","GWLMB","Groundwater level by analog (mechanical) recorder","",46.59241,-120.55673,,1176,,"",1167.63,"",,"","Not Reviewed","","","",9/14/2018 10:30:27 AM,208173301
"VCCE0435","Ameristar No 19 (Also known as Pik a Pop No 14, Tieton Station, Tieton Smoke Shop, Maid O Clover)","VCCE0435-MW1","MW1","VCCE0435-MW1","","Measurement","Consultant, Professional","02/01/2018",16:05:00,"02/01/2018 16:05:00","D","","TOC1","Groundwater","Water level in well (depth below top of well casing)","13.34","ft","","","Water level accurate to +/- 0.01ft","GWLMB","Groundwater level by analog (mechanical) recorder","",46.59241,-120.55723,,1174,,"",1160.66,"",,"","Not Reviewed","","","",9/14/2018 10:30:26 AM,208173283
"FS26981244","Gearjammer Truck Plaza, Union Gap, WA","FS26981244-MW14","MW14","FS26981244-MW14","BKL120","Measurement","Consultant, Professional","12/19/2018",,"12/19/2018","W","","TOC1","Groundwater","Water level in well (depth below top of well casing)","9.64","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.56853,-120.47289,,986,,"",976.36,"",,"VCCE0312","Not Reviewed","","","",2/20/2020 8:33:09 AM,211646778
"AODE11193","Remedial Investigation for Comet Trailer Corp Site, Facility No. 503","AODE11193_MW7","AODE11193_MW7","Former Comet Trailer Area Five MW7","BCB697","Measurement","Consultant, Professional","11/15/2016",09:20:00,"11/15/2016 09:20:00","M","","TOC1","Groundwater","Water level in well (depth below top of well casing)","5.21","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.6465736248944,-120.528455185176,,1096.63,,"",1091.42,"",,"","Reviewed","","","",3/6/2018 5:09:50 PM,207295756
"FS26981244","Gearjammer Truck Plaza, Union Gap, WA","FS26981244-MW10","MW10","FS26981244-MW10","BKY186","Measurement","Consultant, Professional","02/22/2018",,"02/22/2018","W","","TOC1","Groundwater","Water level in well (depth below top of well casing)","10.18","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.56854,-120.47342,,987,,"",976.82,"",,"VCCE0312","Not Reviewed","","","",2/20/2020 8:33:09 AM,211646759
"FS26981244","Gearjammer Truck Plaza, Union Gap, WA","FS26981244-MW11","MW11","FS26981244-MW11","BKY189","Measurement","Consultant, Professional","05/16/2017",,"05/16/2017","W","","TOC1","Groundwater","Water level in well (depth below top of well casing)","10.09","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.56793,-120.47344,,986,,"",975.91,"",,"VCCE0312","Not Reviewed","","","",2/20/2020 8:33:09 AM,211646763
